tau	beta
0.5348584256315599	0.001
0.7673293053314769	0.01
0.5404812389311642	0.05
0.5761042582312048	0.1
0.8073590477226058	0.25
1.108322880683978	0.4
1.0089886112598299	0.5
1.3324054947956527	0.6
1.6706706600416543	0.75
1.8596294677466552	0.8
2.976512044830248	1.0
5.252426392341793	1.25
7.648110431599268	1.5
33.12934465063774	2.0
2380.4476993111766	5.0
2800.902923293574	10.0
